,Top10,appid
185,"['appid', 'strategy', 'simulation', 'singleplayer', 'atmospheric', 'tactical', 'multiplayer', 'moddable', 'great_soundtrack', 'funny']",6420
186,"['appid', 'action', 'adventure', 'third_person_shooter', 'shooter', 'third_person', 'atmospheric', 'multiplayer', 'first_person', 'exploration']",6510
187,"['appid', 'action', 'great_soundtrack', 'singleplayer', 'third_person', 'adventure', 'fantasy', 'story_rich', 'atmospheric', 'comedy']",6550
188,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",6600
189,"['appid', 'strategy', 'action', 'tactical', 'military', 'co_op', 'singleplayer', 'third_person', 'crime', 'great_soundtrack']",6800
190,"['appid', 'action', 'strategy', 'tactical', 'military', 'third_person', 'crime', 'great_soundtrack', 'funny', 'free_to_play']",6810
191,"['appid', 'strategy', 'tactical', 'action', 'co_op', 'military', 'multiplayer', 'team_based', 'crime', 'funny']",6830
192,"['appid', 'strategy', 'action', 'tactical', 'military', 'co_op', 'third_person', 'crime', 'great_soundtrack', 'funny']",6840
193,"['appid', 'action', 'third_person', 'singleplayer', 'shooter', 'sandbox', 'great_soundtrack', 'fps', 'adventure', 'first_person']",6850
194,"['appid', 'action', 'third_person', 'singleplayer', 'great_soundtrack', 'third_person_shooter', 'sandbox', 'shooter', 'atmospheric', 'crime']",6860
195,"['appid', 'action', 'strategy', 'multiplayer', 'simulation', 'war', 'singleplayer', 'driving', 'exploration', 'fps']",6870
196,"['appid', 'action', 'open_world', 'shooter', 'third_person', 'adventure', 'singleplayer', 'sandbox', 'third_person_shooter', 'multiplayer']",6880
197,"['appid', 'action', 'singleplayer', 'third_person', 'shooter', 'third_person_shooter', 'sandbox', 'atmospheric', 'great_soundtrack', 'adventure']",6900
198,"['appid', 'rpg', 'fps', 'action', 'singleplayer', 'story_rich', 'great_soundtrack', 'first_person', 'moddable', 'atmospheric']",6910
199,"['appid', 'action', 'fps', 'rpg', 'singleplayer', 'first_person', 'shooter', 'story_rich', 'atmospheric', 'great_soundtrack']",6920
200,"['appid', 'atmospheric', 'action', 'first_person', 'third_person', 'story_rich', 'horror', 'fantasy', 'singleplayer', 'adventure']",6980
